iter	Passed	Remaining
176	17517	31966
177	17607	31851
178	17698	31738
179	17791	31629
180	17883	31517
181	17974	31405
182	18064	31291
183	18155	31180
184	18246	31069
185	18335	30954
186	18425	30839
187	18517	30731
188	18607	30618
189	18699	30509
190	18789	30398
191	18882	30290
192	18975	30184
193	19065	30072
194	19158	29965
195	19248	29854
196	19339	29744
197	19430	29637
198	19524	29531
199	19615	29422
200	19705	29312
201	19797	29205
202	19884	29092
203	19972	28979
204	20066	28876
205	20158	28769
206	20248	28660
207	20337	28551
208	20430	28446
209	20523	28341
210	20613	28234
211	20703	28125
212	20795	28019
213	20886	27914
214	20976	27805
215	21067	27699
216	21157	27592
217	21248	27486
218	21339	27381
219	21431	27276
220	21523	27171
221	21614	27067
222	21705	26962
223	21796	26855
224	21884	26747
225	21975	26642
226	22067	26539
227	22159	26435
228	22250	26331
229	22338	26223
230	22426	26115
231	22516	26010
232	22608	25907
233	22697	25801
234	22788	25697
235	22879	25594
236	22968	25487
237	23057	25382
238	23146	25277
239	23236	25172
240	23329	25072
241	23415	24964
242	23507	24861
243	23597	24757
244	23686	24653
245	23776	24550
246	23868	24448
247	23955	24341
248	24047	24240
249	24137	24137
250	24224	24031
251	24318	23932
252	24407	23828
253	24504	23732
254	24594	23630
255	24685	23528
256	24774	23425
257	24864	23322
258	24953	23219
259	25045	23119
260	25138	23019
261	25228	22917
262	25318	22815
263	25409	22714
264	25500	22613
265	25591	22512
266	25681	22411
267	25773	22311
268	25866	22212
269	25956	22111
270	26047	22010
271	26137	21909
272	26227	21808
273	26317	21706
274	26406	21605
275	26495	21503
276	26589	21406
277	26680	21305
278	26772	21206
279	26860	21104
280	26960	21011
281	27050	20911
282	27140	20810
283	27230	20710
284	27321	20610
285	27413	20511
286	27501	20410
287	27594	20312
288	27684	20212
289	27772	20111
290	27863	20011
291	27953	19912
292	28043	19812
293	28133	19712
294	28222	19611
295	28313	19513
296	28403	19414
297	28494	19315
298	28588	19218
299	28678	19119
300	28767	19018
301	28859	18920
302	28949	18822
303	29041	18724
304	29132	18625
305	29223	18527
306	29317	18430
307	29408	18332
308	29498	18233
309	29590	18136
310	29689	18042
311	29779	17944
312	29868	17844
313	29959	17746
314	30045	17645
315	30135	17547
316	30226	17449
317	30317	17351
318	30409	17254
319	30500	17156
320	30589	17057
321	30676	16957
322	30768	16860
323	30857	16761
324	30948	16664
325	31035	16564
326	31126	16467
327	31215	16369
328	31304	16270
329	31394	16173
330	31485	16075
331	31577	15978
332	31666	15880
333	31754	15782
334	31842	15683
335	31932	15586
336	32021	15488
337	32110	15390
338	32197	15291
339	32288	15194
340	32378	15097
341	32469	15000
342	32561	14904
343	32650	14806
344	32738	14708
345	32828	14611
346	32921	14515
347	33012	14419
348	33102	14322
349	33195	14226
350	33285	14129
351	33376	14033
352	33464	13935
353	33551	13837
354	33641	13740
355	33734	13645
356	33827	13549
357	33918	13453
358	34013	13359
359	34103	13262
360	34191	13165
361	34281	13068
362	34374	12973
363	34465	12877
364	34553	12779
365	34641	12683
366	34732	12586
367	34820	12490
368	34911	12394
369	34999	12297
370	35089	12200
371	35179	12104
372	35276	12011
373	35364	11914
374	35453	11817
375	35546	11722
376	35636	11626
377	35728	11531
378	35821	11436
379	35912	11340
380	36002	11244
381	36091	11148
382	36180	11052
383	36268	10956
384	36358	10860
385	36447	10764
386	36538	10668
387	36629	10573
388	36717	10477
389	36808	10381
390	36898	10286
391	36991	10191
392	37080	10095
393	37178	10002
394	37267	9906
395	37353	9809
396	37442	9714
397	37531	9618
398	37621	9523
399	37710	9427
400	37799	9332
401	37892	9237
402	37983	9142
403	38076	9047
404	38166	8952
405	38258	8857
406	38348	8762
407	38439	8667
408	38528	8572
409	38615	8476
410	38708	8382
411	38797	8286
412	38887	8191
413	38978	8096
414	39067	8001
415	39158	7906
416	39247	7811
417	39339	7717
418	39429	7622
419	39521	7527
420	39611	7432
421	39700	7337
422	39786	7242
423	39877	7147
424	39966	7052
425	40057	6958
426	40149	6863
427	40239	6769
428	40327	6674
429	40416	6579
430	40506	6484
431	40594	6389
432	40683	6295
433	40775	6200
434	40862	6105
435	40950	6011
436	41042	5916
437	41130	5822
438	41223	5728
439	41314	5633
440	41404	5539
441	41493	5444
442	41586	5350
443	41679	5256
444	41771	5162
445	41863	5068
446	41956	4974
447	42045	4880
448	42133	4785
449	42224	4691
450	42313	4597
451	42402	4502
452	42493	4408
453	42583	4314
454	42672	4220
455	42760	4125
456	42849	4031
457	42941	3937
458	43029	3843
459	43121	3749
460	43210	3655
461	43298	3561
462	43389	3467
463	43479	3373
464	43572	3279
465	43664	3185
466	43755	3091
467	43847	2998
468	43865	2899
469	43953	2805
470	44042	2711
471	44137	2618
472	44231	2524
473	44324	2431
474	44493	2341
475	44644	2250
476	44736	2157
477	44827	2063
478	44919	1969
479	45010	1875
480	45104	1781
481	45192	1687
482	45282	1593
483	45372	1499
484	45464	1406
485	45556	1312
486	45647	1218
487	45736	1124
488	45825	1030
489	45915	937
490	46004	843
491	46095	749
492	46186	655
493	46275	562
494	46292	467
495	46382	374
496	46469	280
497	46558	186
498	46646	93
499	46737	0
