iter	RMSE
0	0.02892232503
1	0.02858874738
2	0.02827240123
3	0.02796395854
4	0.02768509243
5	0.02741850819
6	0.027164377
7	0.02692301161
8	0.02669723538
9	0.02649328105
10	0.02630013783
11	0.02611837359
12	0.02594898771
13	0.02578813979
14	0.02563802409
15	0.0254936334
16	0.02535911035
17	0.02522918434
18	0.02510454687
19	0.0249962125
20	0.02489529567
21	0.02478782841
22	0.02469279716
23	0.02459787931
24	0.02450150396
25	0.02441611294
26	0.02432530477
27	0.02423973541
28	0.02416090771
29	0.02408975269
30	0.02402347296
31	0.02395327701
32	0.02388957671
33	0.02383626531
34	0.02377518117
35	0.02369726344
36	0.02362982367
37	0.02357806428
38	0.02350522044
39	0.02345703572
40	0.02339953091
41	0.02333274736
42	0.02328591015
43	0.02323153156
44	0.02318328966
45	0.02314442367
46	0.02309375882
47	0.02302596378
48	0.02295953638
49	0.02291454349
50	0.02287645878
51	0.02284210575
52	0.0228045567
53	0.02276890437
54	0.02271726053
55	0.02267425769
56	0.0226200781
57	0.02258513895
58	0.02253691631
59	0.0224927578
60	0.02245856633
61	0.0224118218
62	0.0223797537
63	0.02234554756
64	0.02231966119
65	0.02228042472
66	0.02223868415
67	0.02219759553
68	0.02217302194
69	0.02214494216
70	0.02210159057
71	0.02208040206
72	0.0220489391
73	0.02200460263
74	0.02197832826
75	0.02195605083
76	0.02191324397
77	0.02188623789
78	0.02186077338
79	0.02182481319
80	0.02179701092
81	0.02176981637
82	0.02173166241
83	0.02170825982
84	0.021681899
85	0.02165296574
86	0.02162497436
87	0.02160347991
88	0.02158291643
89	0.02155684925
90	0.02152441615
91	0.02150351952
92	0.02147460844
93	0.02143480288
94	0.02141063863
95	0.02138788491
96	0.02135356212
97	0.02133661779
98	0.02131094508
99	0.0212719678
100	0.02125083657
101	0.02122178171
102	0.02120515618
103	0.02116738157
104	0.02113887512
105	0.02110055684
106	0.02108427367
107	0.02104748327
108	0.02102732849
109	0.02100133579
110	0.02097769757
111	0.0209577266
112	0.02094003376
113	0.02092126086
114	0.02089732574
115	0.02087983617
116	0.02085834249
117	0.02084292367
118	0.02082385477
119	0.02081499233
120	0.02078987059
121	0.0207635876
122	0.02073715434
123	0.02070606093
124	0.02069163599
125	0.02067155012
126	0.02065766478
127	0.02064138358
128	0.02061840916
129	0.02060100355
130	0.02058981315
131	0.02057988891
132	0.0205660966
133	0.02054586808
134	0.02052364091
135	0.02050531621
136	0.02048599031
137	0.02046686739
138	0.02045382964
139	0.02042919809
140	0.02041206431
141	0.0203912922
142	0.02037406001
143	0.0203650031
144	0.0203437038
145	0.020332626
146	0.02031598429
147	0.0202938267
148	0.02026889726
149	0.02025762712
150	0.02023795755
151	0.0202143625
152	0.02019590602
153	0.02017678661
154	0.02016521284
155	0.02014909529
156	0.02013509561
157	0.02012302818
158	0.02010486046
159	0.02009178599
160	0.02007240116
161	0.02004655167
162	0.02002396173
163	0.02000799291
164	0.01998026944
165	0.01996490756
166	0.01995066189
167	0.01992914015
168	0.01991803093
169	0.01990144691
170	0.01988246786
171	0.01986805814
172	0.01985630075
173	0.01984154552
174	0.01982500372
175	0.01981079925
176	0.01979281629
177	0.01977684635
178	0.01976022797
179	0.01973008025
180	0.01971589637
181	0.01969380309
182	0.0196865428
183	0.01966867469
184	0.01964687825
